ano;numero;data_pedido;informacoes_pessoais;situacao_pedido;orgao_solicitacao;descricao;arquivo_pedido;resposta;orgao_resposta;situacao_resposta;data_resposta;arquivo_1o_recurso;descricao_1o_recurso;resposta_1o_recurso;orgao_1o_recurso;situacao_1o_recurso;data_resposta_1o_recurso;arquivo_2o_recurso;descricao_2o_recurso;numero_recurso;resposta_2o_recurso;orgao_2o_recurso;situaçao_2o_recurso;data_resposta_2o_recurso;motivo_pedido;sexo_solicitante;escolaridade_solicitante;profissao_solicitante;bairro_solicitante;cidade_solicitante;uf_solicitante;pais_solicitante;anexo_resposta;anexo_resposta_1o_recurso;anexo_resposta_2o_recurso
2020;2020000010034009995;2020-01-01;NÃO;Respondido;SECRETARIA DE SAÚDE;Prezado (a), Com base na lei Nº 12.527/2011, que regulamenta o direito constitucional de acesso às informações públicas, gostaria de solicitar a lista de medicamentos adquiridos pelo município de Recife a partir de 01 de janeiro de 2017, com as respectivas quantidades e preços praticados. Adicionalmente gostaria de solicitar o valor total de despesas/gastos com medicamentos em 2017, 2018 e 2019. Nesse caso, gostaríamos que fosse considerado gastos/transferências com qualquer tipo de medicamento, seja do componente básico, estratégico, especializado, medicamentos de uso hospitalar, judicialização, serviços de manipulação terceirizados ou outros programas serviços internos.;;Prezado, a resposta da sua solicitação encontra/se nos anexos.;SECRETARIA DE SAÚDE;Respondido;2020-01-31;;;;;;;;;;;;;;Pesquisa;M;Mestrado/Doutorado;Professor    ;Aguas Claras;Brasilia;Df;Brasil;2020000010034009995_doc_6, 2020000010034009995_doc_5, 2020000010034009995_doc_4, 2020000010034009995_doc_3, 2020000010034009995_doc_2, 2020000010034009995_doc_1;;
2020;2020000020033009999;2020-01-02;NÃO;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Bom dia.Amparado pela Lei de acesso a informação, venho por meio deste solicitar as seguintes informações:1/  Os quiosque existentes na orla de Boa Viagem, não pode funcionar vinte quatro horas ?2/ Há alguma recomendação de horários na concessão do espaço aos permissionários?3/ Qual a finalidade da cobrança da taxa no valor de 250,00?4/ Quantos quiosque existe na orla referida ?5/ Quantos pagaram a taxa ?6/ Por ser um período que há um número maior de pessoas ( TURISTAS)  na Cidade, e principalmente na orla essa cobrança não é inoportuna?7/ Cópia do modelo de contrato de concessão aos permissionários.8/ Em anos anteriores foram cobrado a tal taxa?  Se sim cópia de documento que comprove.9/ Todos os quiosque funcionando, não seriam mais um serviço ofertado aos moradores e turistas que estariam festejando a entada do ano novo? 10/ O  comercio a partir da meia / noite, é diferente do restante do dia? 11/ Qual a data da portaria e seu número?;;Senhor, a PCR tem a informar:1/De acordo com o disposto no Decreto nº 27.357/13, artigo 1º, § 2º é vedado o funcionamento vinte e quatro horas, conforme redação do citado parágrafo: “As atividades de comércio realizadas nos quiosques serão permitidas no horário de 6h a 00h (zero hora)”/ 2/Sim, conforme dispõe o Decreto nº 27.357/13, art. 1º, § 2º/ 3/Não há cobrança de taxas/ 4/São 60 quiosques/ 5/ Não há cobrança de taxas/ 6/ Não há cobrança de taxa/7/A Prefeitura da cidade do Recife tem o cadastro dos empreendedores da Orla e mantém uma fiscalização rotineira para controle das instalações/8/ Não há cobrança de taxa/ 9/ Os quiosques funcionaram de acordo com a opção de cada empreendedor/ 10/Em conformidade com o Decreto nº 27.357/13, artigo 1º, § 2º é vedado o funcionamento vinte e quatro horas, conforme redação do citado parágrafo: “As atividades de comércio realizadas nos quiosques serão permitidas no horário de 6h a 00h (zero hora)”, 11/ Decreto nº 24.844, de 04 de novembro de 2009 e o Decreto nº 27.357/13.;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;2020-01-15;;Boa noite.Pelo fato do pedido ser respondido em partes, como foi o caso da pergunta da questão  7/ Cópia do modelo de contrato de concessão aos permissionários, do pedido que não foi enviado o modelo de CONTRATO DOS QUIOSQUE. Fico no aguardo para que me mande a cópia solicitada na solicitação sete.;Resposta do 1º recursoPrezado, A Regional Sul, responsável pelo comércio informal da orla, não dispõe de modelo de contrato específico.Usa como controle dos comerciantes informais uma listagem com nomes/equipamentos. Maiores informações procurar a Chefe da Regional Sul a Sra: Lúcia Amorim, no endereço Rua Senador Roberto Kennedy, nº 350, no Bairro do IPSEP, no horário das 08:00 às 12:30hs.Atenciosamente,Autoridade de Transparência da SEMOC;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;2020-01-27;;Boa noite.A cópia que eu me refiro e solicitei , cópia de Contrato  é de Quiosque e não de comércio informal. Enfatizo que em momento nenhum pedi informação sobre o comércio informal. Eu estou neste recurso solicitando CÓPIA DO MODELO DE CONTRATO DE COMERCIANTE DE QUIOSQUE COM A PREFEITURA.;2;Segue decisão do Comitê Gestor de Acesso à Informação / CGAI sobre o pedido.Atenciosamente,Equipe do Portal da Transparência;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;2020-03-13;Outros  ;M;Pós-graduação;não informado;Alto Jose Do Pinho;Recife;Casado(A);Brasil;;;2020000020033009999_doc_01
2020;2020000030034010017;2020-01-03;SIM;Respondido;SECRETARIA DE SAÚDE;Boa Tarde, Por gentileza, qual a última vez que teve concurso para Enfermeiro em Recife, bem como o número de inscritos para vaga de Enfermeiro OU qual o local que posso ter esta informação, pois não localizei no site informações sobre concursos. Qual o valor da gratificação de produtividade que consta no edital para o cargo de enfermeiro?;;Prezados, a resposta da solicitação encontra/se em anexo.;SECRETARIA DE SAÚDE;Respondido;2020-01-21;;;;;;;;;;;;;;Outros  ;F;não informado;não informado;Tres Figueiras ;Glorinha;Rs;Brasil;2020000030034010017_doc_1;;
2020;2020000040060000012;2020-01-05;NÃO;Indeferido;SECRETARIA DE FINANÇAS;Solicito informação sobre o valor da compra do terreno do centro de treinamento 'Valdomiro Silva', localizado na Rua Carnaval no bairro de Dois Unidos, o qual pertencia ao Santa Cruz Futebol Clube.;;Prezado,Sugere/se que se ingresse com novo pedido mais detalhado, pois o presente PAI foi indeferido por ausência de informações suficientes para identificação exata do imóvel.Atenciosamente,Secretaria de Finanças;SECRETARIA DE FINANÇAS;Indeferido;2020-01-06;;;;;;;;;;;;;;Outros  ;M;Pós-graduação;Servidor público estadual;Imbiribeira;Recife;Pe;Brasil;;;
2020;2020000050069009990;2020-01-06;NÃO;Respondido;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Venho através deste, requerer informações referentes ao concurso público para o provimento de 500 vagas no cargo efetivo de Agente de Apoio ao Desenvolvimento Escolar Especial / AADEE, da secretaria de educação, do edital 01, de 13 de junho de 2015 (homologado em 16/01/16).Assim sendo, solicito os seguintes dados:*Houveram quantas exonerações?*Solicito a lista contendo os nomes das pessoas que foram exoneradas e o número da respectiva portaria contendo a exoneração/*Quantos servidores deste cargo estão com pedido de exoneração em trâmite?*Solicito a lista contendo os nomes dos servidores deste cargo que, estão com o pedido de exoneração em trâmite.*Solicito a lista contendo os nomes dos servidores deste cargo que, foram demitidos.*Atualmente existem quantos servidores em exercício neste cargo?;;Prezado, Em resposta a solicitação, informamos que:Até a presente data, foram exonerados 52 Agentes de Apoio ao Desenvolvimento Escolar Especial (AADEE) e 251 Agentes de Apoio ao Desenvolvimento Escolar Especial (AADEE) encontram/se em exercício. Além disso, 9 AADEE estão com o pedido de exoneração em trâmite.Segue, em anexo, a planilha contendo a lista dos exonerados e também daqueles que estão com pedido de exoneração em trâmite, até a presente data. As respectivas portarias podem ser encontradas no Diário Oficial do Município.Sem mais, renovo protestos de elevada e estima consideraçãoSecretaria de Administração e Gestão de Pessoas;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Respondido;2020-01-24;;;;;;;;;;;;;;Outros  ;M;Ensino Médio ;Empregado - setor privado;Torroes;Recife;Pe;Brasil;2020000050069009990_doc_1;;
2020;2020000060020010011;2020-01-06;NÃO;Indeferido;SECRETARIA DE EDUCAÇÃO;Venho através deste, requerer informações referentes ao concurso público para o provimento de 500 vagas no cargo efetivo de Agente de Apoio ao Desenvolvimento Escolar Especial / AADEE, da secretaria de educação, do edital 01, de 13 de junho de 2015 (homologado em 16/01/16). Assim sendo, solicito os seguintes dados: *Houveram quantas exonerações?*Solicito a lista contendo os nomes das pessoas que foram exoneradas e o número da respectiva portaria contendo a exoneração/ *Quantos servidores deste cargo estão com pedido de exoneração em trâmite? *Solicito a lista contendo os nomes dos servidores deste cargo que, estão com o pedido de exoneração em trâmite. *Solicito a lista contendo os nomes dos servidores deste cargo que, foram demitidos. *Atualmente existem quantos servidores em exercício neste cargo?;;Prezado,Seu pedido foi indeferido por já haver um outro com o mesmo teor direcionado à Secretaria de Administração e Gestão de Pessoas do mesmo solicitante. Aguardar a resposta da secretaria responsável.Atenciosamente,Equipe do Portal da Transparência;SECRETARIA DE EDUCAÇÃO;Indeferido;2020-01-06;;;;;;;;;;;;;;Outros  ;M;Ensino Médio ;Empregado - setor privado;Torroes;Recife;Pe;Brasil;;;
2020;2020000070020010019;2020-01-06;NÃO;Indeferido;SECRETARIA DE EDUCAÇÃO;Venho através deste, requerer informações referentes ao concurso público para o provimento de 500 vagas no cargo efetivo de Agente de Apoio ao Desenvolvimento Escolar Especial / AADEE, da secretaria de educação, do edital 01, de 13 de junho de 2015 (homologado em 16/01/16). Assim sendo, solicito os seguintes dados: *Até então, quantos candidatos aprovados no certame para o cargo de AADEE, foram nomeados por NÃO COMPARECIMENTO dos respectivos candidatos melhor classificados indicados às vagas originalmente ?;;Prezado,Seu pedido foi indeferido por já haver um outro com o mesmo teor direcionado à Secretaria de Administração e Gestão de Pessoas sob o protocolo nº 2020000090069009990 do mesmo solicitante. Aguardar a resposta da secretaria responsável.Atenciosamente,Equipe do Portal da Transparência;SECRETARIA DE EDUCAÇÃO;Indeferido;2020-01-06;;;;;;;;;;;;;;Outros  ;M;Ensino Médio ;Empregado - setor privado;Torroes;Recife;Pe;Brasil;;;
2020;2020000080020010016;2020-01-06;NÃO;Indeferido;SECRETARIA DE EDUCAÇÃO;Venho através deste, requerer informações referentes ao concurso público para o provimento de 500 vagas no cargo efetivo de Agente de Apoio ao Desenvolvimento Escolar Especial / AADEE, da secretaria de educação, do edital 01, de 13 de junho de 2015 (homologado em 16/01/16). Assim sendo, solicito os seguintes dados: *Até então, quantos candidatos aprovados no certame para o cargo de AADEE, foram nomeados por NÃO COMPARECIMENTO dos respectivos candidatos melhor classificados indicados às vagas originalmente ?;;Prezado,Seu pedido foi indeferido por já haver um outro com o mesmo teor direcionado à Secretaria de Administração e Gestão de Pessoas sob o protocolo nº 2020000090069009990 do mesmo solicitante. Aguardar a resposta da secretaria responsável.Atenciosamente,Equipe do Portal da Transparência;SECRETARIA DE EDUCAÇÃO;Indeferido;2020-01-06;;;;;;;;;;;;;;Outros  ;M;Ensino Médio ;Empregado - setor privado;Torroes;Recife;Pe;Brasil;;;
2020;2020000090069009990;2020-01-06;NÃO;Respondido;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Venho através deste, requerer informações referentes ao concurso público para o provimento de 500 vagas no cargo efetivo de Agente de Apoio ao Desenvolvimento Escolar Especial / AADEE, da secretaria de educação, do edital 01, de 13 de junho de 2015 (homologado em 16/01/16). Assim sendo, solicito os seguintes dados: *Até então, quantos candidatos aprovados no certame para o cargo de AADEE, foram nomeados por NÃO COMPARECIMENTO dos respectivos candidatos melhor classificados indicados às vagas originalmente ?;;Prezado, Em resposta a solicitação, informamos que:Foram nomeados 503 candidatos aprovados do concurso em questão, totalizando as vagas ofertadas no edital.Com relação às desistências, informo que, de acordo com o Estatuto dos Funcionários Públicos do Município do Recife, há um prazo definido para a posse.Assim, pelo fato de ainda não ter transcorrido todo o prazo para os candidatos nomeados no Diário Oficial do dia 11/02/2020, Portaria 0025, tomarem posse, não há a possibilidade, durante esse prazo, de responder ao pedido solicitado.Sem mais, renovo protestos de elevada e estima consideraçãoSecretaria de Administração e Gestão de Pessoas;SECRETARIA DE ADMINISTRAÇÃO E GESTÃO DE PESSOAS;Respondido;2020-01-29;;;;;;;;;;;;;;Outros  ;M;Ensino Médio ;Empregado - setor privado;Torroes;Recife;Pe;Brasil;;;
2020;2020000100071000458;2020-01-06;NÃO;Respondido;PROCURADORIA GERAL DO MUNICÍPIO;Solicito listagem de imóveis que está sob responsabilidade ou adquirido pelo prefeitura por força de débitos municipais, para implantação de centro de educação profissional de jovens em vulnerabilidade. Somos uma Oscip com mais de 20 anos de existência e pretendemos voltar a expandir nosso atendimento.;;Em atenção à indagação formulada no Pedido n.º 2020000100071000458, cumpre ser esclarecido que a Prefeitura do Município do Recife não possui imóveis adquiridos ou sob sua responsabilidade por força de débitos municipais.;PROCURADORIA GERAL DO MUNICÍPIO;Respondido;2020-01-14;;;;;;;;;;;;;;Pesquisa;F;Ensino Superior   ;Membro de ONG nacional   ;Santo Amaro;Recife;Pe;Brasil;;;
